Title,Author,Publisher,Description
"1억 근육 (그 어떤 상황에서도 다시 일어설 수 있는 부의 기초 체력, 일 억)",‘즐부’ 박성찬,쏭북스,"챌린지형 경공매 멘토 즐부가 전하는 평생 행복한 투자자로 사는 비결
그 어떤 상황에서도 평생 행복한 투자자로 살 수 있는 첫 관문 1억 근육일억 근육을 만드는 힘

	회복 탄력성과 뇌 과학으로 인생의 전환을 이룬 저자가 전하는 투자 멘탈력
	티끌 모아 티끌인 투자가 반복되는 이유에 대한 근본적 해결책
	자본주의 사회에서 평생 행복한 투자자로 살기 위해 먼저 알아야 할 것들
	내 힘으로 벌어 통장에 찍힌 1억 원의 의미
	평생 투자자가 되기 위한 첫 관문 1억 근육을 만드는 8단계
	남들 하는 대로 열심히 노력하기의 배신 
	불안과 두려움을 인정하는 뇌 과학 기반 투자의 비법
	생업으로 전업 투자자가 된다는 의미
	내 자산을 지킬 단단함은 어디에서 나오는가
	아이를 낳는다는 마음으로 투자한다면
	자산은 애정과 애착에 반응한다는 것을 알아야 하는 이유"
300년 세계경제사의 위대한 경제이론들 (불황에서 호황으로 빈곤에서 풍요로),김민구,사람in,"300년 세계경제사의 주요 경제이론을 한 권에 담았다

산업혁명 이후 발전한 자본주의 경제는 지난 3백 년간 인간 삶의 여러 측면을 변화시켰다 모든 국가가 경제적 번영을 위해 목표를 세우고 애쓰지만 어떤 나라 사람들은 영화를 누리고 어떤 나라 사람들은 빈곤에 허덕이는 것이 현실이다 그동안 수많은 경제학자가 더 나은 내일을 위한 해법을 제시하고 경제정책에 영향을 미치며 사람들의 삶을 바꿔왔다
범위가 폭넓으면서도 쉽게 읽히는 이 책은 역사상 가장 위대한 경제이론과 그 이론을 내놓은 경제학자들의 이야기를 담고 있다 18세기 애덤 스미스의 국부론을 비롯해 21세기에 새로이 큰 영향을 미치는 경제학자들의 이론과 그것을 내놓게 된 시대상을 종합하여 이야기한다 자유방임주의부터 신자유주의 정부의 시장 개입을 강조하는 케인스학파부터 최근 각광받는 불평등 해결책에 이르는 주요 이론의 흐름을 한눈에 알 수 있다 역사적으로 세계 자본주의를 형성해온 경제이론을 담은 이 책은 일상생활에 살아 숨 쉬는 경제 현상을 더 쉽게 이해하는 길잡이다"
40세 정신과 영수증 (2만 장의 영수증 위에 쓴 삶과 사랑의 기록),정신,이야기장수,"23세부터 매일 모은 삼과 삶의 기록 영수증 2만 5천 장
당신을 만나기 위하여 태평양을 건넌 
홍진경을 온통 흔들어놓은 정신의 이야기

2004년 정신과 영수증이라는 묘한 제목의 책이 출간된다 언뜻 정신의학과에 다녀온 기록처럼 보이는 이 책은 그러나 정신이라는 이름을 가진 여성의 독특한 감성과 집요하게 영수증을 모으며 일상을 기록하는 방식의 기발함으로 화제를 모았다 출간된 지 20여 년이 지났음에도 SNS에서 젊은 독자들에게 계속해서 발견되는 레전드 에세이의 주인공 정신 그리고 방송인 홍진경이 지금 나를 온통 흔들고 있는 존재라고 언급한 곡진한 우정과 편지의 수신인 정신 작가가 21년 만에 신간으로 돌아왔다 
23세부터 매일매일 영수증을 모으던 정신은 지금도 영수증을 모은다 그가 모은 영수증은 어느덧 2만 5천 장에 이르렀다 해사하고 개성 넘치는 감성으로 사랑하고 사랑받으며 20대를 보내던 정신은 어느덧 40대가 되었다 막연하게 30대엔 인생의 단 한 사람을 만나 결혼을 하고 단단한 일상을 가질 거라 생각했지만 40대의 인생은 막막하고 막연하다 정신은 아직 인생의 단 한 사람을 만나지 못했고 일도 가족도 주위 환경도 장막이 드리운 것처럼 쉽지 않다 
그러던 어느 날 자신을 둘러싼 공간과 인간관계의 반경을 넓혀보라는 조언을 듣고 정신은 신변을 정리하고 태평양을 건너 훌쩍 미국으로 날아간다 미국 성당 앞에서 울며 기도하던 시간 통 잠에 들어가지 못하며 내 인생에 흉터를 남긴 악역들과 싸우고 견디고 그들이 남긴 독을 치유하던 시간들 그리고 내 인생의 단 한 사람을 만나기 위해 수많은 사람들과 대화하고 배우고 다시 사람에게서 희망을 찾던 순간들에 이르기까지 
이 책은 정신 작가가 소중한 사람들에게 또 지켜내야 할 자기 자신에게 무언가를 사주고 선물하며 물건과 장소에 남은 기억을 돌아보는 기록이자 생의 어둠 속에서 끝내 빛을 찾아내는 이야기이다"
"강남 아파트 인사이트 (강남을 처음 공부하는 당신에게, 3060 생애주기별 인생투자 가이드)",오스틀로이드,진서원,"강남에 집 사고 싶어요 저자 오스틀로이드가 돌아왔다
강남 아파트 아무거나 사지 마세요

저자의 첫 책인 강남에 집 사고 싶어요는 부동산스터디 카페에서 3040 세대가 보낸 질문에 대한 답글이었다 실거주 똘똘한 1채를 고민하던 투자자에게 나침반 역할을 제시했고 3대째 강남에 거주한 워킹맘의 경험담은 그래프 하나 없어도 부동산 투자의 원리가 담겨 있어 술술 이해되었다 
그렇다면 5년이 훌쩍 넘은 지금은 어떠할까 강남 쏠림 현상은 가속화되었고 아파트 매수자의 니즈도 세분화되었다 자신이 가진 돈과 나이와 취향에 따라 어디를 진입하면 좋을까 강남 아무 데나 들어가도 괜찮을까 디테일의 차이가 자산의 크기를 좌우하는 상황이다

40년 가까이 거주한 강남 토박이의 강남 아파트 투자지도
압구정 반포 대치 개포 역삼 도곡 서초 방배 삼성 청담 수서 잠실까지
강남 아파트 인사이트는 강남을 처음 공부하는 사람들을 위한 책이다 저자는 40년 가까이 강남에 거주하며 두 아이를 키우고 출퇴근을 반복했기 때문에 누구보다 강남 구석구석 잘 알고 있다 본인도 실거주 갈아타기를 위해 손으로 지도를 그려가며 임장을 했고 인덕원에서 역삼 대치 반포로 상급지 이동을 해왔다 
저자는 자신의 투자 경험을 토대로 30대 40대 50대 60대 생애주기 사이클에 따라 진입하기 좋은 강남 아파트를 안내한다 이번에도 복잡한 그래프와 통계수치는 찾아볼 수 없다 대신 강남 원주민의 속사정과 신규 투자자의 심리를 기반으로 강남 12개 권역 약 170개 아파트의 가격서열이 어떻게 책정되었는지 설명한다

강남 3구 총 170여 개 아파트 입지분석 투자 심리까지 총망라
이 나이에 이 돈으로 어디를 갈아탈까요
강남 아파트 투자처는 크게 12여 곳으로 나뉜다 압구정 반포 대치 개포 역삼 도곡 서초 삼성 청담 수서 잠실까지 압구정이 왜 상급지인지 반포가 토지거래허가제를 피해 급상승한 게 아니라는 이유까지 그리고 대치동의 원톱 탈환 가능성에 대해서 언급한다 또한 개포동 주거지의 특징과 도곡과 역삼 간 학군지 위상의 변화를 설명한다 서초동과 방배동의 닮은 듯 다른 점과 출퇴근을 하며 느꼈던 삼성동의 두 얼굴을 풀어낸다 숨겨진 청담동의 가치와 동남권의 새로운 거점인 수서 그리고 젊은 부부들이 선택한 잠실까지 분석하며 마무리 짓는다 
저자는 이렇게 아이 교육도 잘 시키고 직주근접도 가능하며 자산가치 상승까지 기대할 만한 아파트를 추렸다 이 책을 다 읽고 나면 독자 스스로 최적의 선택지를 고를 수 있을 것이다 강남의 주요 아파트는 책 속에 입지 분석 지도로 제공하고 있어서 책만 들고 곧바로 임장이 가능하게끔 실용성도 갖췄다 

순자산이 얼마예요 
영끌 적정 기준 제시 1013년 대출 원금의 50 상환 가능 여부
강남 아파트는 움직이는 과녁과 같다 저자는 내집마련 투자가 실패하지 않으려면 순자산 계산의 습관화를 강조한다 순자산이야말로 자신이 서 있는 투자의 좌표이고 방향성이며 대출 실행의 기준 즉 영끌의 기준1013년 대출 원금의 50 상환 가능 여부을 제시하기 때문이다 우리는 생애주기에 따라 차익 실현 시점과 절세를 시뮬레이션하며 앞으로 나아가야 한다 특히 자녀가 있다면 갈아타기 시점과 학령기를 맞춰야 하고 증여와 쪼개기도 고민해야 한다
아이가 학령기에 접어들면 투자 에너지도 50 이상 줄이는 게 맞다 그래서 여건만 된다면 대다수 가정이 아이를 위해 강남 투자를 선택한다 방향성이 뚜렷하기에 어디를 투자할지 시간을 낭비할 필요가 없고 아이에게 집중할 시간을 확보하기 때문이다 저자는 아이를 낳아 키우는 일에 비하면 투자는 쉽다고 말한다 투자는 한번 망쳐도 다시 시작할 수 있으니 말이다 이것이야말로 이 책 최고의 인사이트가 아닐까"
공급자의 시선 (부동산 투자의 25가지 함정),표영호,황금부엉이,"공급자의 시선을 간파하면 투자 원칙이 명확해진다
정부 건설사 언론 시장의 판을 짜는 자들을 꿰뚫어라

한때 모든 자산이 가파르게 상승하던 시기는 끝났다 특히 부동산 시장은 급등과 조정을 반복하며 과거처럼 사두면 오른다는 단순한 공식이 통하지 않는 시대가 되었다 이제 부동산 가격이 오를 것인지 떨어질 것인지 누구도 확신할 수 없다 시장에서는 끊임없이 엇갈린 전망이 쏟아진다 어떤 전문가는 지금이 저점 매수 기회라고 말하고 또 다른 전문가는 추가 하락이 불가피하다고 경고한다 수많은 정보 속에서 무엇이 진짜 신호이고 무엇이 노이즈인지 구분하기 어려운 상황은 투자자의 객관적인 판단을 흐리게 만든다 이는 시장의 분위기에 휩쓸려 감정적인 결정을 내리게 하는 위험 요소가 된다
지금의 부동산 시장에서는 정보를 많이 아는 것이 중요한 것이 아니다 중요한 것은 그 정보가 무엇을 의미하는지 그리고 그 정보가 만들어진 의도가 무엇인지 정확하게 해석하는 능력이다 잘못된 해석은 곧 투자 실패로 이어질 수 있기 때문이다 그렇다면 무엇을 기준으로 시장을 바라봐야 할까 이 책은 그 답을 공급자의 시선에서 찾는다

정보는 무기인가 함정인가
공급자의 전략을 이해하는 자만이 기회를 움켜쥔다

대부분은 집값이 올랐다는 뉴스를 보면 더 오를 것이라 기대하고 특정 지역의 개발 계획이 발표되면 유망 투자처라 판단한다 하지만 시장을 움직이는 것은 투자자가 아니라 정부 건설사 금융기관 언론과 같은 공급자들이다 정부는 정책을 발표할 때 단순한 시장 안정이 아니라 정치적경제적 목적을 고려하며 건설사는 분양을 유리하게 만들기 위해 특정 지역의 개발 이슈를 강조한다 금융기관은 대출 정책을 조정하며 자본의 흐름을 통제하고 언론은 특정 키워드를 부각해 투자 심리를 조성한다 이렇게 공급자는 언제나 자신에게 유리한 방식으로 정보를 흘린다 이를 비판 없이 받아들일 경우 그들의 의도에 휩쓸려 투자에서 실패할 수밖에 없다
이 책의 저자이자 70만 구독자를 가진 부동산 전문 채널 표영호TV의 운영자 표영호는 현장의 목소리를 들으며 공급자들이 정보를 활용하는 방식을 분석해 왔다 그는 부동산 시장에서 기회를 잡으려면 공급자의 시선으로 시장을 바라봐야 한다고 강조한다 공급자의 시선은 단순히 어디에 투자해야 하는가를 알려주는 것이 아니라 부동산 시장의 근본적인 흐름을 이해하고 정책뉴스분양 정보 속에서 진짜 투자 기회를 찾는 방법을 알려주는 책이다 이 책이 당신의 중요한 투자 선택을 돕는 나침반이 되어줄 것이다"
과학을 보다 3 (지식과 흥미를 한 번에 채우는 기발하고 수상한 과학책),김범준^지웅배^이대한^정영진,알파미디어,"진화 우주 만물의 비밀을 푸는 경이로운 과학 여행
요즘 어른에게 필요한 최소한의 과학 교양

훨씬 깊고 넓어진 과학 이야기 이제는 생명의 진화까지

진화생물학자 이대한이 펼쳐 보이는 생명 진화의 비밀과 아름다움
천문학자 지웅배가 명쾌하게 설명하는 우주의 신비와 낭만
물리학자 김범준이 세상만사를 풀어내는 과학적 방법론
 정영진의 재치와 현실감각

230만 구독자를 보유한 유튜브 채널 보다BODA의 인기 시리즈 과학을 보다가 세 번째 책으로 돌아왔다 유튜브 영상으로 과학의 매력을 전하던 이들이 첫 번째 책을 통해 일반 독자들에게 과학의 문턱을 낮추고 두 번째 책으로 깊이 있는 생물학적 통찰을 선보였다면 이번 과학을 보다 3에서는 한층 더 폭넓은 주제와 다채로운 이야기를 담아냈다
이번 책은 생명과 진화 우주의 비밀 그리고 일상에서 무심코 지나쳤던 과학적 호기심까지 포괄한다 예를 들어 원숭이가 이제 구석기시대에 접어들었다는 이야기가 사실일까 공룡은 왜 우리처럼 문명을 이루지 못했을까 빙하 속 고대 생물을 복원할 수 있을까 같은 틀을 깨는 질문으로 우리에게 과학적 상상의 나래를 마음껏 펼치게 한다 때로는 엉뚱하고 때로는 진지한 질문에서 출발한 이야기는 과학적 근거와 재치 있는 설명으로 이어지며 자연스럽게 고개를 끄덕이게 만든다
과학을 보다 3의 가장 큰 매력은 무작정 어렵게 느껴지던 주제를 독자의 눈높이에 맞춰 풀어냈다는 점이다 유리는 고체일까 액체일까와 같은 고전적 질문부터 빛과 빛이 충돌하면 어떤 일이 생길까 우리 몸의 원소들이 별에서 왔다고 같은 흥미로운 이야기를 통해 과학을 외면했던 이들조차 빠져들지 않을 수 없게 만든다 특히 유튜브 영상에서는 시간의 제약으로 담기 힘들었던 상세한 설명과 흥미로운 뒷이야기까지 만날 수 있어 과학에 관심 있는 독자들에게 더없이 반가운 선물이 될 것이다
유쾌한 질문과 진지한 답변 사이를 오가다 보면 과학은 더 이상 어려운 학문이 아닌 세상을 새롭게 바라보게 하는 즐거운 도구임을 깨닫게 된다 첫 페이지를 펼치는 순간 과학자들의 이야기에 빠져들고 마지막 페이지를 덮을 때쯤이면 세상에 대한 새로운 시각과 깊이 있는 지식을 얻은 자신을 발견하게 될 것이다 과학을 보다 3은 이번에도 우리의 호기심을 충족시키며 과학적 소양을 쌓는 즐거움을 선사한다 책을 펼치고 과학의 세계로 떠나보자"
"교양인이 알아야 할 음식의 역사 (인류는 무엇을 어떻게 먹어왔을까, 그리고 미래에도 그렇게 먹을 수 있을까)",자크 아탈리,따비,"음식을 먹는 것은 그 어떤 인간 활동보다 역사의 중심에 있다 
그렇다면 미래를 이해하고 대비하기 위해서는 
음식을 관통하는 모든 수수께끼의 답을 
찾아낼 수 있어야 한다

인류가 생존하기를 바란다면 충만하고 자연적인 삶과 정말 인간다운 삶을 누리고자 한다면 윗세대가 어떻게 음식을 먹었는지 거기에 들인 시간은 얼마나 되는지 식사를 통해 형성한 사회적 관계는 무엇인지 음식에 썼던 돈은 얼마나 되는지 음식으로 세워졌다가 무너진 권력은 무엇인지 자세히 살펴봐야 한다 음식을 먹는 것이 모두에게 즐거움 공유 창작 기쁨 자기 초월의 원천이 되도록 해야 한다 그뿐만 아니라 지구와 생명을 구하는 방법이 되도록 만들어야 한다

음악 의학 시간 재산 노마디즘 사랑 죽음 지정학 기술 유대교 근대성 미로 예측 대양의 긴 역사를 공부하고 책으로 쓴 바 있는 경제학자이자 미래학자 자크 아탈리가 이번에는 음식의 역사를 탐구했다 도서출판 따비의 신간 교양인이 알아야 할 음식의 역사인류는 무엇을 어떻게 먹어왔을까 그리고 미래에도 그렇게 먹을 수 있을까에서 아탈리는 먹는다는 것은 과거 현재 그리고 미래에 무엇을 의미할까라는 물음의 답을 찾아간다"
국세청도 모르는 상속 증여의 기술 (상위 1% 자산가들이 찾는 세무사가 알려주는 합법적인 절세법),공찬규,알에이치코리아,"1500만 조회수 돌파 공셈TV의 운영자 공셈의 실전 절세법
네이버 세무 분야 인플루언서 1위 전문가의 노하우
2025년 3월에 발표된 상속세 개정 이슈 포함

국세청도 모르는 상속 증여의 기술은 세무사 자격증과 공인중개사 자격증을 동시에 보유하고 있는 전문가 공셈이 매년 수백 건 진행하는 실전 상담 사례를 통해 쌓아 올린 상속세 증여세 절세 노하우를 담았다 세법은 일상에서도 많은 궁금증을 유발한다 어째서 재벌이 아닌 사람에게도 부자 세금을 과세하는지 자식에게 현금을 줘도 증여세를 내야 하는지 아파트 한 채 장만했을 뿐인데 세무조사 통지를 받으면 어떻게 해야 하는지 기초적인 상속세 증여세 상식부터 실전에 응용할 수 있는 절세 노하우까지 조목조목 짚어 준다

세법의 딱딱한 법문적 내용이 아니라 계좌이체 현금 입출금 세무조사 대비 등 실제로 접하는 사례 위주로 구성되어서 누구나 쉽게 이해할 수 있다 거기에 더해 2025년 3월에 발표된 상속세 개정 이슈와 실제 현장에서 활발한 상담을 이어나가는 저자가 직접 엄선한 QA까지 담은 실용적인 책이다 피땀 흘려 모은 재산을 고스란히 세금으로 빼앗기고 싶지 않다면 상위 1 자산가들 사이에서 공유되는 절세 노하우를 알고 싶다면 국세청도 모르는 상속 증여의 기술이 많은 도움을 줄 것이다

이 책은 총 4장으로 구성되었다 1장에서는 본격적인 상속세 증여세 절세법을 제시하기 전에 기초적인 세금 상식을 설명한다 2장에서는 상속세를 중점적으로 다룬다 크게 상속개시 이전과 이후에 해야 할 일로 나눠서 상속세 공제를 최대한 많이 받으려면 어떤 조치를 취해야 하는지 조목조목 알려 준다 장례비용 공제처럼 대개 알고 있을 내용부터 사전증여라는 생소한 개념까지 광범위한 상속세 절세법이 담겨 있다 3장은 증여세가 중심이다 증여세는 생활과 밀접한 관계를 맺고 있는 세금이다 가족에게 생활비로 주는 금액은 어느 정도가 비과세인지 경조사비는 얼마까지 세금을 내지 않아도 되는지 알기 쉽게 설명한다 증여 대상 재산을 현금 주식 부동산 세 가지로 나눠서 독자 스스로 자신에게 필요한 방법을 찾기 쉽게 만들었다 마지막으로 4장에서는 가족 간 부동산 거래는 시세에 비해 얼마나 저렴하게 팔아도 괜찮은지 어떤 경우에 가족법인을 만들면 파격적으로 절세할 수 있는지 알 수 있다"
국화와 칼 (일본 문화의 양상),루스 베네딕트,현대지성,"일본 문화의 이중성을 최초로 분석하고
타 문화 이해의 기준이 된 고전

주요 번역상 다수 수상한 왕은철 교수의
현대적 감각을 살린 정확하고 유려한 번역

 희귀 사진 및 일본 전통 그림 45컷 컬러 수록
 이해를 돕는 필수 배경지식 장별 정리


제2차 세계대전이 한창이던 1944년 미국 정부는 인류학자 루스 베네딕트에게 일본 문화를 연구해달라고 요청했다 당시 미국에게 일본은 가장 낯설고 예측하기 힘든 적이었기에 효과적으로 대처하려면 일본인의 행동 양상을 파악할 필요가 있었다 전쟁 중이어서 현지 조사를 수행할 수 없었지만 베네딕트는 방대한 자료 조사와 미국 거주 일본인들의 도움으로 일본 문화를 탁월하게 분석해냈다 날카로운 통찰로 핵심 원리를 꿰뚫은 그의 연구는 미국의 전후 일본 점령 정책에 결정적인 영향을 미쳤다 그 결과물은 1946년 국화와 칼로 출간되어 미국은 물론이고 일본에서도 250만 부 넘게 팔리며 큰 반향을 불러일으켰다
베네딕트는 국화와 칼을 일본 문화에 내재한 이중성을 함축하는 상징으로 내세웠다 당시 미국이 바라본 일본은 혼란스럽고 해석 불가한 국가였다 그들은 예의 바르면서도 무례하고 순종적이면서도 통제하기 어렵고 충성스러우면서도 쉽게 배반했다 베네딕트는 일본인의 가치 체계에서 그러한 이중적 행동 양상이 성립하는 원리를 논리적으로 분석했고 그 원리가 형성된 역사적 맥락을 철저히 규명했다 베네딕트가 파악한 온과 기무 기리 등은 지금까지도 일본 문화를 분석하는 데 토대가 되는 주요 개념이다
국화와 칼은 우리와 다른 타자의 문화를 연구하는 데 모범이 될 만한 태도와 방법론을 제시했다 문화의 상대성을 존중하고 편견에 빠지지 않은 채 타 문화를 객관적으로 파악하려는 지적 태도야말로 이 책의 백미다 전 세계가 긴밀히 연결되어 문화적 타자와의 교류가 불가피해진 이 시대에 우리는 이 책에서 여전히 빛나는 통찰과 교훈을 얻을 수 있다
현대지성 클래식 국화와 칼은 유영번역상 등 굵직한 번역상을 다수 수상한 왕은철 교수가 번역을 맡았다 원문의 논리와 구조에 충실하면서도 시인이기도 했던 저자의 문학적 필치를 유려하게 살려냈다 시대적 배경과 맥락을 생생히 알 수 있도록 일본 전통 그림과 희귀 사진 45점을 컬러로 수록했고 이해를 돕는 필수 배경지식을 장별로 정리했다"
귀하신 몸 (근골격계),EBS <귀하신 몸> 제작진,알에이치코리아,"EBS 화제의 건강 프로그램 귀하신 몸 공식 단행본

내 몸을 살리는 습관
관절을 지킬 골든타임을 사수하라

EBS 화제의 건강 프로그램 귀하신 몸의 방송 중 근골격계 관련 회차만을 엄선해 한 권으로 엮었다 귀하신 몸 근골격계는 어깨 목 무릎 허리 골반 발 등 고질적인 관절 통증을 유발하는 부위와 해당 근골격계 질환을 정리해 식습관과 운동법 등 생활 습관의 변화만으로 통증을 없애는 솔루션을 제시한다 
오십견 골반 불균형 목 디스크 척추측만증 등 일상생활 속 누구나 나도 하고 생각해 봤을 질환들을 집에서 정확히 진단하는 방법을 소개하고 그에 맞춰 통증을 개선하는 운동법을 제시한다 책에서 소개하는 2주 솔루션을 따라 하다 보면 자연스럽게 몸의 변화를 체감할 수 있다 국내 명의 운동 전문가 영양사로 구성된 대한민국 최고 전문가단이 처방한 2주 완성 홈케어 처방전은 뼈 건강을 걱정하는 모두를 위한 주치의가 되어 줄 것이다"
균은 어떻게 세상을 만들어 가는가,조너선 케네디,아카넷,"균은 총칼보다 더 치명적이다
총균쇠가 아니라 균균균이다 

세상에서 가장 미시적인 것들이 만들어 온 5만 년 역사의 유장한 파노라마

 우리는 균으로 이루어진 이 세계에 초대받은 손님일 뿐이다

균은 어떻게 세상을 만들어 가는가는 유전학 생물학 인류학 고고학 경제학 역사 등 다양한 분야의 최신 연구를 토대로 현생인류의 출발인 호모사피엔스 시대부터 코로나19가 휩쓸고 간 최근까지 약 5만 년간의 인류사를 살펴보면서 균이 우리 삶에 끼친 심대한 영향을 탐구한 책이다 한국의 독자들과 처음 만나는 저자 조너선 케네디는 런던퀸메리대학에서 글로벌 공중 보건에 대해 가르치고 있으며 이 책으로 영미권의 언론과 독자로부터 많은 주목을 받았다 저자의 첫 책임에도 불구하고 과학과 인문의 영역을 통섭적으로 넘나들면서 놀라울 만큼 방대한 자료에 쉽게 접근할 수 있도록 풀어내는 그의 유려한 솜씨와 넓고 깊은 시야는 이런 주제에 익숙한 독자라 할지라도 그들을 강력하게 사로잡을 것이다 케네디는 인류 사회의 운명을 바꾼 세 가지 인자로 총 균 쇠를 꼽았던 재러드 다이아몬드를 의식하면서 그중 균은 총칼보다도 또한 그 어떤 위인보다도 더 치명적이고 힘이 세다는 사실을 다음과 같이 강조한다 

이 책에는 알렉산드로스 대왕 무함마드 샤를마뉴 마르틴 루터 조지 워싱턴 등 토머스 칼라일이 말하는 위인이 많이 등장한다 하지만 이들 영웅은 천재성과 강인한 성격으로 역사의 물줄기를 바꾼 것이 아니라 오히려 이러한 자질 덕분에 치명적인 전염병이 이미 만들어 준 기회를 활용할 수 있었다338쪽

총과 쇠 같은 군사 기술 측면에서 스페인은 아메리카 원주민보다 실제로 우위에 있었다 그러나 중략 정복자들의 총기는 충격 효과를 가져다주기는 했지만 문제도 있었다 중략 원시적인 머스킷 총은 재장전하는 데 1분 이상 걸렸고 대포는 험준한 지형을 가로질러 운반하기 어려웠다 중략 다이아몬드는 아즈텍과 잉카가 이전에 전혀 접하지 못했던 말이 침략 결과에 결정적 역할을 했다고 주장한다 중략 그러나 말의 중요성을 과장해서는 안 된다 스페인군이 보유한 말은 코르테스의 침공 당시 16마리 피사로의 침공 당시 68마리로 매우 적은 수에 불과했다 중략 그렇다면 정복자들이 중남미를 그토록 단호하게 정복할 수 있었던 이유가 총과 쇠로 설명되지 않는다면 그 이유는 무엇일까 답은 간단하다 균 균 균이다183185쪽 

균은 어떻게 세상을 만들어 가는가에 대해 영국의 일간지 타임스는 과학과 역사의 이음매 없는 만남 유발 하라리의 독자라면 즐거워할 책이라고 평했고 인간이 되다의 저자로 많이 알려진 루이스 다트넬은 흥분을 불러일으키고 경이롭다 신석기시대 질병부터 최근의 코로나 19까지 이 지구상에서 가장 미시적인 생명체가 얼마나 막대한 역할을 했는지를 탐구한다라고 놀라움을 표했다 또한 선데이 타임스 아마존 굿리드 등도 이 책을 2023년 최고의 책으로 꼽기도 하는 등 호평이 이어졌다 총균쇠 사피엔스 인간이 되다 같은 책을 좋아하는 독자라면 이 책 역시 주목하지 않을 수 없을 것이다 

한편 이 책의 들머리에는 원서에는 없는 양질의 컬러 화보 32컷을 엄선하여 에피타이저처럼 수록해 놓았다 각각의 화보에는 짧지만 알찬 해설까지 곁들여 놓음으로써 화보만 보아도 선사시대부터 오늘날에 이르기까지 균의 막강한 영향을 탐구한 이 책의 대략을 가늠하는 데 유용한 길잡이가 될 것이다 

 균의 관점에서 다시 쓰는 인간의 서사

17세기 네덜란드의 직물상이자 과학자인 안토니 판 레이우엔훅이 처음 발견한 미생물의 세계는 코페르니쿠스의 지동설 다윈의 진화론 프로이트의 무의식 발견만큼이나 인간과 자연에 대한 우리의 이해에 큰 지각변동을 일으키는 계기가 되었다 후대의 많은 연구자들은 육안으로는 보이지 않는 이 작은 존재들의 세계가 단순히 질병 부패 죽음을 일으키는 매개체만이 아니라 그것 없이는 인간의 삶 아니 모든 형태의 복잡한 생명체는 상상할 수 없는 것임을 깨닫게 되었다 실제로 무수한 박테리아와 바이러스는 역사 전체에 걸쳐 수많은 생명을 앗아 가고 여러 문명을 약화시켰지만 그 폐허 속에서 새로운 세상이 등장하고 번성하는 기회를 만들었다 저자는 이에 대한 구체적 이야기를 여덟 개의 장에 걸쳐 풀어낸다 

